position_key	move_uci	probability	observations
rnbqkb1r/ppp2ppp/3p1n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R w KQkq -	e5f3	1.000000	2
rnbqkb1r/ppp2ppp/3p4/8/4n3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	f1c4	1.000000	2
rnbqkbnr/p1pp1ppp/1p2p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	d2d4	1.000000	3
rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -	b1c3	0.500000	2
r1bqk1nr/pppp1ppp/2n5/8/2BpP3/2b2N2/P4PPP/RNBQ1RK1 w kq -	b1c3	0.500000	2
r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	g1f3	1.000000	2
r2qkbnr/pp2pppp/2n5/3p4/3P2b1/2N2N2/PPP2PPP/R1BQKB1R w KQkq -	f1b5	0.500000	2
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq -	f8c5	0.666667	3
r1bqkb1r/pp3ppp/2p2n2/nB1Pp1N1/8/8/PPPP1PPP/RNBQK2R w KQkq -	d5c6	1.000000	4
r1bqkb1r/p4ppp/2p2n2/nB2p1N1/8/8/PPPP1PPP/RNBQK2R w KQkq -	d1f3	1.000000	4
r1bqk2r/1ppp1ppp/p1n2n2/2b1p1N1/2B1P3/2NP4/PPP2PPP/R1BQK2R b KQkq -	b7b5	0.500000	2
rnbqkb1r/pppp1ppp/5n2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -	d7d6	0.666667	3
rnbqkbnr/pppp1ppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq -	b8c6	1.000000	2
2k1r3/p1p2ppp/1p6/6N1/q3n3/3r3P/5PP1/R4RK1 b - -	a4d4	0.500000	2
r3k2r/p1p2pp1/1pp5/8/4P1Pq/3P4/PPP3P1/R1BQ1RK1 b kq -	h4h2	1.000000	2
r3k2r/p1p2pp1/1pp5/8/4P1P1/3P4/PPP2KPq/R1BQ1R2 b kq -	h2h4	1.000000	2
rnb1kb1r/ppppqBpp/8/4N3/4n3/8/PPPP1PPP/RNBQK2R b KQkq -	e8d8	1.000000	2
r1b1kbnr/pppp1pp1/2n2q1p/8/2BNP3/8/PPP2PPP/RNBQK2R w KQkq -	c2c3	0.500000	2
rnbqk1nr/ppp1bppp/3p4/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq -	d1d4	1.000000	2
rnbqkb1r/ppp2ppp/8/3pN3/2B1n3/5Q2/PPPP1PPP/RNB1K2R b KQkq -	f7f5	0.500000	2
r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -	e5d4	0.500000	2
3r2k1/pppb1r1p/6pB/2bP4/8/2N4P/PPP2nP1/R4RK1 w - -	g1h2	1.000000	2
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq -	f8c5	1.000000	2
r1bqkbnr/pp1ppppp/8/1Bp5/3nP3/5N2/PPPP1PPP/RNBQK2R w KQkq -	f3d4	1.000000	2
r1bqkbnr/pp1ppppp/8/1B6/3pP3/8/PPPP1PPP/RNBQK2R w KQkq -	d2d3	0.500000	2
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/3PB3/PPP2PPP/RN1QKB1R b KQkq -	c5e3	0.500000	2
5rk1/pp1r1pp1/1b1N3p/3nP3/3q2PP/1P1b4/P2Q2B1/2RK3R w - -	c1c4	0.500000	2
rnbqkbnr/pp2pppp/2p5/3P4/8/8/PPPP1PPP/RNBQKBNR w KQkq -	d5c6	1.000000	3
r1bqkbnr/pp2pppp/2n5/8/8/8/PPPP1PPP/RNBQKBNR w KQkq -	g1f3	0.666667	3
rnbqkb1r/ppp2ppp/3p1n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -	f3g5	1.000000	2
